input_url,http_status,final_url,status,product_url,notes
https://sunhouse.com.vn/search/SHD7724,200,https://sunhouse.com.vn/search/SHD7724,not_found,,long not-found message
https://sunhouse.com.vn/search/SHD7771,200,https://sunhouse.com.vn/search/SHD7771,not_found,,long not-found message
https://sunhouse.com.vn/search/SHD7765,200,https://sunhouse.com.vn/search/SHD7765,not_found,,long not-found message
https://sunhouse.com.vn/search/SHD7752,200,https://sunhouse.com.vn/search/SHD7752,not_found,,long not-found message
https://sunhouse.com.vn/search/SHD7722,200,https://sunhouse.com.vn/search/SHD7722,not_found,,long not-found message
https://sunhouse.com.vn/search/SHD7742,200,https://sunhouse.com.vn/search/SHD7742,not_found,,long not-found message
https://sunhouse.com.vn/search/HTD7763,200,https://sunhouse.com.vn/search/HTD7763,not_found,,long not-found message
https://sunhouse.com.vn/search/SHD7718,200,https://sunhouse.com.vn/search/SHD7718,unknown,,no signals found
https://sunhouse.com.vn/search/SHD7701,200,https://sunhouse.com.vn/search/SHD7701,not_found,,long not-found message
https://sunhouse.com.vn/search/HTD7741,200,https://sunhouse.com.vn/search/HTD7741,not_found,,long not-found message
https://sunhouse.com.vn/search/SHD7720,200,https://sunhouse.com.vn/search/SHD7720,unknown,,no signals found
https://sunhouse.com.vn/search/SHD7714,200,https://sunhouse.com.vn/search/SHD7714,not_found,,long not-found message
https://sunhouse.com.vn/search/SHD7733,200,https://sunhouse.com.vn/search/SHD7733,unknown,,no signals found
https://sunhouse.com.vn/search/SHD7754,200,https://sunhouse.com.vn/search/SHD7754,not_found,,long not-found message
https://sunhouse.com.vn/search/HTD7743,200,https://sunhouse.com.vn/search/HTD7743,not_found,,long not-found message
https://sunhouse.com.vn/search/SHD7703,200,https://sunhouse.com.vn/search/SHD7703,not_found,,long not-found message
https://sunhouse.com.vn/search/SHD7717,200,https://sunhouse.com.vn/search/SHD7717,unknown,,no signals found
https://sunhouse.com.vn/search/SHD7732,200,https://sunhouse.com.vn/search/SHD7732,unknown,,no signals found
https://sunhouse.com.vn/search/SHB369,200,https://sunhouse.com.vn/search/SHB369,unknown,,no signals found
https://sunhouse.com.vn/search/SHD7713,200,https://sunhouse.com.vn/search/SHD7713,unknown,,no signals found
https://sunhouse.com.vn/search/SHB63020-MD,200,https://sunhouse.com.vn/search/SHB63020-MD,unknown,,no signals found
https://sunhouse.com.vn/search/SHB355,200,https://sunhouse.com.vn/search/SHB355,unknown,,no signals found
https://sunhouse.com.vn/search/HTB356D,200,https://sunhouse.com.vn/search/HTB356D,unknown,,no signals found
https://sunhouse.com.vn/search/SHB62040-MD,200,https://sunhouse.com.vn/search/SHB62040-MD,unknown,,no signals found
https://sunhouse.com.vn/search/SHB62020-MD,200,https://sunhouse.com.vn/search/SHB62020-MD,unknown,,no signals found
https://sunhouse.com.vn/search/SHB5-BDU828,200,https://sunhouse.com.vn/search/SHB5-BDU828,unknown,,no signals found
https://sunhouse.com.vn/search/SHB5-BDU628,200,https://sunhouse.com.vn/search/SHB5-BDU628,unknown,,no signals found
https://sunhouse.com.vn/search/SHB5-BDU829,200,https://sunhouse.com.vn/search/SHB5-BDU829,unknown,,no signals found
https://sunhouse.com.vn/search/SHB5-BDU626,200,https://sunhouse.com.vn/search/SHB5-BDU626,unknown,,no signals found
